Title:The NANOGrav 11yr Data Set: Limits on Supermassive Black Hole Binaries in Galaxies within 500Mpc
Authors: Arzoumanian et al. Corresponding author: Maria Charisi [maria.charisi[at]nanograv.org]
Table: 2MRS galaxy catalog with estimates of the SMBH mass and distance, along with the GW strain upper limit towards the direction of each galaxy.
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label            Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---         Name             Source Name
  17- 21 F5.2   Mpc         Dist             Galaxy Distance in Mpc
  22- 24 F3.2   [solMass]   BHMassfbulge1    SMBH mass assuming fbulge=1
  25- 27 F3.2   [solMass]   BHMassfbulge031  SMBH mass assuming fbulge=0.31
  28- 30 F3.2   [solMass] e_BHMassfbulge1    SMBH mass uncertainty
  31- 33 E3.2   ---         GWstrain         GW strain upper limit at the pixel of the galaxy
  34-  0 I      ---       f_Dist             Flag for distance estimate: 1=Cosmicflows-3, 2=Groups Catalog 3=flow field model
  34-  0 I      ---       f_BHMassfbulge1    Flag for mass estimate: 1=dynamical measurement, 2=reverberation mapping for AGN, 3=M-sigma, 4=M-Mbulge for galaxies with known types, 5=M-Mbulge galaxies unknown type, 6=AGN/quasar excluded
--------------------------------------------------------------------------------
Note (1):   BHMass=-9.00 for quasars/AGN excluded
Note (2):   For galaxies with unknown type, the mass uncertainty estimated from the scatter in the Mbh-Mbulge relationship is identical for fbulge=1 and fbulge=0.31.
--------------------------------------------------------------------------------
00424433+4116074  0.82 8.15 8.15 0.17 4.22e-15 1 1
00473313-2517196  3.81 7.74 7.74 0.45 3.76e-15 1 4
09553318+6903549  3.87 7.90 7.90 0.08 5.51e-15 1 1
13252775-4301073  3.92 7.77 7.77 0.08 3.31e-15 1 1
13052727-4928044  3.99 7.22 7.22 0.43 3.28e-15 1 4
01335090+3039357  0.97 6.23 6.23 0.44 5.56e-15 1 4
09555243+6940469  3.78 8.17 8.17 0.43 5.51e-15 1 4
03464851+6805459  3.63 7.21 7.21 0.46 6.01e-15 1 4
13370091-2951567  4.99 7.64 7.64 0.45 2.69e-15 1 4
12395949-1137230 10.95 8.83 8.83 0.03 3.49e-15 1 1
00424182+4051546  0.84 6.41 6.41 0.08 4.22e-15 1 1
12505314+4107125  4.92 6.83 6.83 0.10 3.66e-15 1 1
12564369+2140575  5.68 6.20 6.20 0.11 3.14e-15 1 1
20345233+6009132  4.30 6.94 6.94 0.43 3.38e-15 2 4
12294679+0800014 17.22 9.38 9.38 0.04 3.66e-15 1 1
13295269+4711429  9.19 6.46 6.46 0.43 3.63e-15 1 3
12185761+4718133  7.83 7.56 7.56 0.00 3.78e-15 1 1
03224178-3712295 18.71 8.23 8.23 0.08 6.53e-15 1 1
13154932+4201454  9.59 6.58 6.58 0.38 3.66e-15 1 3
02424077-0000478 15.83 8.06 8.06 0.42 6.81e-15 2 3
12434000+1133093 18.62 9.67 9.67 0.10 3.77e-15 1 1
03171859-4106290  9.73 8.05 8.05 0.39 6.53e-15 1 3
11054859-0002092 14.19 8.02 8.02 0.45 5.26e-15 1 4
00402207+4141070  0.87 6.25 6.25 0.45 4.22e-15 1 4
12304942+1223279 17.70 9.79 9.79 0.02 3.66e-15 1 1
10051397-0743068 11.01 8.95 8.95 0.19 5.88e-15 1 1
11201502+1259286  9.63 6.86 6.86 0.40 4.58e-15 1 3
14031258+5420555  7.45 7.32 7.32 0.43 3.53e-15 1 4
02223290+4220539  9.77 7.70 7.70 0.45 6.23e-15 1 4
04074690+6948447 21.21 8.79 8.79 0.45 6.01e-15 2 4
22370410+3424573 15.06 7.24 7.24 0.39 2.97e-15 1 3
09321011+2130029 10.00 6.57 6.57 0.42 8.33e-15 1 3
11185595+1305319 13.55 7.33 7.33 0.39 4.58e-15 1 3
12362080+2559146 14.39 7.22 7.22 0.39 3.43e-15 1 3
09220265+5058353 15.63 8.13 8.13 0.38 5.71e-15 1 3
19094609-6351271  9.59 6.83 6.83 0.41 2.45e-15 1 3
11201701+1335221 11.22 7.76 7.76 0.44 4.58e-15 1 4
12252405+1811278 16.98 8.14 8.14 0.37 3.63e-15 1 3
09423326-0341568 23.66 8.79 8.79 0.39 6.84e-15 1 3
12261181+1256454 18.28 8.75 8.75 0.39 3.66e-15 1 3
02402401+3903477 11.16 7.60 7.60 0.04 6.23e-15 1 1
12315921+1425134 21.38 7.59 7.59 0.42 3.77e-15 1 3
